P101,MV101,FIT101,LIT101
2,1,0,548.007751
2,1,0,547.3012
2,1,0,547.3012
2,1,0,546.9872
2,1,0,546.7124
2,1,0,546.4376
2,1,0,545.927368
2,1,0,545.7311
2,1,0,544.946045
2,1,0,544.632
2,1,0,543.9255
2,1,0,542.9834
2,1,0,542.198364
2,1,0,541.531067
2,1,0,540.628235
2,1,0,539.960938
2,1,0,539.6469
2,1,0,539.372131
2,1,0,538.940369
2,1,0,538.5871
2,1,0,538.2338
2,1,0,538.155334
2,1,0,537.645
2,1,0,537.5665
2,1,0,537.016968
2,1,0,537.370239
2,1,0,536.702942
2,1,0,536.702942
2,1,0,536.0749
2,1,0,536.035645
2,1,0,535.1329
2,1,0,534.544067
2,1,0,533.759033
2,1,0,533.1702
2,1,0,533.287964
2,1,0,532.1889
2,1,0,531.7964
2,1,0,531.4038
2,1,0,530.815063
2,1,0,530.344
2,1,0,530.029968
2,1,0,529.55896
2,1,0,528.9309
2,1,0,528.420654
2,1,0,528.224365
2,1,0,528.420654
2,1,0,527.988831
2,1,0,528.2636
2,1,0,527.9496
2,1,0,527.8711
2,1,0,527.439331
2,1,0,527.243042
2,1,0,526.968262
2,1,0,526.6935
2,1,0,526.104736
2,1,0,525.829956
2,1,0,524.8879
2,1,0,523.906555
2,1,0,523.8673
2,1,0,523.357
2,1,0,523.239258
2,1,0,522.57196
2,1,0,522.179443
2,1,0,521.590637
2,1,0,521.1196
2,1,0,519.981262
2,1,0,519.9028
2,1,0,519.157
2,1,0,518.842957
2,1,0,517.9401
2,1,0,517.783142
2,1,0,517.586853
2,1,0,517.5476
2,1,0,516.9588
2,1,0,516.056
2,1,0,515.859741
2,1,0,514.8392
2,1,0,514.6429
2,1,0,514.0149
2,1,0,513.269043
2,1,0,513.1513
2,1,0,512.444763
2,1,0,511.5812
2,1,0,510.9924
2,1,0,510.521362
2,1,0,510.717621
2,1,0,510.1681
2,1,0,510.207336
2,1,0,510.285858
2,1,0,510.285858
2,1,0,509.304535
2,1,0,508.558746
2,1,0,507.538147
2,1,0,506.6746
2,1,0,505.693268
2,1,0,505.02597
2,1,0,504.2017
2,1,0,503.416626
2,1,0,503.1026
2,1,0,502.710083
2,1,0,502.474548
2,1,0,502.239044
2,1,0,501.885773
2,1,0,501.925018
2,1,0,501.8465
2,1,0,501.139954
2,1,0,500.904449
2,1,0,500.551178
2,1,0,500.394165
2,1,0,500.001617
2,1,0,499.491333
2,0,0,498.981049
2,0,0,499.020325
2,0,0,498.824036
2,0,0,498.824036
2,0,0.009608301,498.902557
2,0,0.122665979,498.745544
2,0,0.310348123,498.392273
2,0,0.6696986,497.724976
2,0,1.08701921,497.6072
2,2,1.69490433,496.429626
2,2,2.23649216,495.173553
2,2,2.82099724,493.6427
2,2,3.26265883,492.661377
2,2,3.63129735,492.4651
2,2,3.88591743,492.268829
2,2,4.04317331,491.9548
2,2,4.15238762,492.1511
2,2,4.21612263,492.582855
2,2,4.269609,493.8782
2,2,4.3144474,495.2128
2,2,4.320853,495.9586
2,2,4.326618,496.586639
2,2,4.33782768,497.175446
2,2,4.34455347,497.41095
2,2,4.35127926,497.764221
2,2,4.358005,498.392273
2,2,4.362809,498.824036
2,2,4.366012,499.491333
2,2,4.36761332,500.8652
2,2,4.370176,501.296967
2,2,4.370176,501.6895
2,2,4.370176,502.474548
2,2,4.370176,503.3381
2,2,4.370176,503.9269
2,2,4.36409044,504.4372
2,2,4.362489,504.908234
2,2,4.362489,504.711975
2,2,4.362489,505.02597
2,2,4.362489,504.8297
2,2,4.362489,505.1045
2,2,4.36505127,505.614777
2,2,4.36505127,505.2615
2,2,4.36505127,505.2615
2,2,4.36505127,505.418518
2,2,4.368254,505.850281
2,2,4.368254,506.203552
2,2,4.37145662,506.0073
2,2,4.37498,506.0073
2,2,4.37786245,505.7718
2,2,4.37882328,505.850281
2,2,4.38362741,506.360565
2,2,4.389072,506.8316
2,2,4.39259529,507.812927
2,2,4.39291525,508.51947
2,2,4.39291525,509.5008
2,2,4.38618946,509.775574
2,2,4.38618946,511.18866
2,2,4.38618946,512.130737
2,2,4.38618946,513.0728
2,2,4.38618946,513.5046
2,2,4.382026,513.7401
2,2,4.37882328,513.8971
2,2,4.37882328,514.2896
2,2,4.370496,514.2111
2,2,4.370496,514.0149
2,2,4.3698554,514.0934
2,2,4.3698554,514.3289
2,2,4.3698554,515.2317
2,2,4.37369871,515.0747
2,2,4.37369871,515.78125
2,2,4.37369871,515.859741
2,2,4.383307,516.252258
2,2,4.38362741,516.841064
2,2,4.38362741,516.6055
2,2,4.38362741,517.0766
2,2,4.382026,517.194336
1,2,4.38106537,517.7439
1,2,4.3804245,517.6261
1,2,4.371777,518.5682
1,2,4.371777,519.039246
1,2,4.370496,520.1383
1,2,4.370496,520.92334
1,2,4.370496,521.6691
1,2,4.370496,522.179443
1,2,4.370496,522.925232
1,2,4.370496,523.7103
1,2,4.370496,523.828064
1,2,4.370496,524.1421
1,2,4.362809,524.3383
1,2,4.362809,525.0449
1,2,4.362809,525.5159
1,2,4.36056757,525.5159
1,2,4.36056757,525.908447
1,2,4.36056757,526.0655
1,2,4.36056757,526.8113
1,2,4.366012,527.2038
1,2,4.369215,527.8711
1,2,4.370816,527.635559
1,2,4.37241745,528.4599
1,2,4.37241745,528.1851
1,2,4.37818241,529.1272
1,2,4.37818241,529.402
1,2,4.37818241,531.1291
1,2,4.37818241,532.1104
1,2,4.37498,533.8768
1,2,4.37498,535.2506
1,2,4.368254,536.82074
1,2,4.36184835,538.1946
1,2,4.36184835,539.4507
1,2,4.357685,540.9815
1,2,4.357685,541.7273
1,2,4.356404,542.551636
1,2,4.356404,542.944153
1,2,4.356404,543.689941
1,2,4.36665249,544.0432
1,2,4.37305832,544.5143
1,2,4.369215,544.8283
1,2,4.36409044,545.2208
1,2,4.36409044,545.8881
1,2,4.36409044,546.869446
1,2,4.36729336,547.6937
1,2,4.36729336,548.871338
1,2,4.36729336,549.813354
1,2,4.35736465,551.147949
1,2,4.35736465,552.09
1,2,4.35928631,552.7181
1,2,4.36505127,553.5031
1,2,4.36505127,554.0919
1,2,4.36505127,554.8377
1,2,4.36505127,555.2303
1,2,4.36889458,556.0938
1,2,4.37145662,556.5649
1,2,4.37690163,557.38916
1,2,4.37690163,558.4097
1,2,4.37690163,558.723755
1,2,4.37690163,559.7443
1,2,4.37145662,560.6079
1,2,4.370816,561.98175
1,2,4.36377,563.4341
1,2,4.3653717,565.279
1,2,4.37241745,566.5743
1,2,4.37241745,567.9874
1,2,4.37241745,568.458435
1,2,4.37241745,569.4005
1,2,4.37241745,570.381836
1,2,4.37465954,571.4024
1,2,4.382026,571.9912
1,2,4.38490868,572.3837
1,2,4.37562037,572.9332
1,2,4.37241745,572.737
1,2,4.37241745,572.9332
1,2,4.37626076,573.168762
1,2,4.379784,574.2678
1,2,4.379784,575.837952
1,2,4.379784,577.094055
1,2,4.38458824,577.839844
1,2,4.38747072,579.566956
1,2,4.38747072,580.6268
1,2,4.3804245,582.0007
1,2,4.3804245,582.7072
1,2,4.37882328,582.8642
1,2,4.368574,583.5315
1,2,4.368254,584.081055
1,2,4.368254,585.2586
1,2,4.368254,586.397
1,2,4.380104,587.5745
1,2,4.38362741,588.2026
1,2,4.38362741,589.7727
1,2,4.3858695,590.597
1,2,4.38939238,591.539063
1,2,4.38939238,592.9914
1,2,4.38939238,593.6587
1,2,4.38939238,594.5615
1,2,4.38266659,595.032532
1,2,4.37946367,595.071838
1,2,4.37626076,595.3073
1,2,4.37209749,595.8176
1,2,4.371777,595.621338
1,2,4.371777,595.739136
1,2,4.371777,596.4457
1,2,4.371777,597.0344
1,2,4.37241745,598.015747
1,2,4.37562037,599.664368
1,2,4.37946367,600.606445
1,2,4.38266659,602.5691
1,2,4.38266659,603.9037
1,2,4.38266659,604.7673
1,2,4.38266659,606.6906
1,2,4.38266659,608.4177
1,2,4.38266659,610.0271
1,2,4.38266659,610.4196
1,2,4.38266659,611.6365
1,2,4.38266659,612.3038
1,2,4.38266659,613.0103
1,2,4.38266659,613.5206
1,2,4.38747072,614.1094
1,2,4.38747072,615.051453
1,2,4.38747072,615.5225
1,2,4.38458824,615.758
1,2,4.38458824,616.2683
1,2,4.38458824,616.8571
1,2,4.378503,617.6814
1,2,4.378503,618.6235
1,2,4.378503,619.2515
1,2,4.378503,620.8216
1,2,4.382026,621.7244
1,2,4.39067364,622.902039
1,2,4.39323568,623.9226
1,2,4.396118,625.100159
1,2,4.396118,626.1992
1,2,4.3909936,627.376831
1,2,4.38362741,628.161865
1,2,4.383307,628.8684
1,2,4.383307,630.5563
1,2,4.383307,631.5376
1,2,4.383307,633.304
1,2,4.380104,634.677856
1,2,4.379784,635.502136
1,2,4.379784,636.012451
1,2,4.379784,637.033
1,2,4.384268,637.896545
1,2,4.384268,638.2498
1,2,4.37882328,638.4461
1,2,4.37498,638.2498
1,2,4.37305832,638.2106
1,2,4.37145662,639.152649
1,2,4.37145662,639.977
1,2,4.37145662,640.212463
1,2,4.37145662,640.408752
1,2,4.37626076,640.605
1,2,4.37722158,641.1938
1,2,4.37722158,641.7041
1,2,4.37722158,642.9602
1,2,4.37722158,643.863
1,2,4.37722158,644.5695
1,2,4.37722158,645.3546
1,2,4.38490868,646.139648
1,2,4.38651,646.6892
1,2,4.38843155,646.806946
1,2,4.39291525,647.670532
1,2,4.394517,648.5733
1,2,4.394517,649.4369
1,2,4.394517,650.1827
1,2,4.394517,651.635
1,2,4.391314,652.5771
1,2,4.389713,653.793945
1,2,4.389713,654.6575
1,2,4.389072,655.12854
1,2,4.387791,656.0314
1,2,4.38747072,656.345337
1,2,4.38362741,657.248169
1,2,4.38362741,658.2295
1,2,4.38362741,659.1716
1,2,4.38362741,660.0744
1,2,4.380104,660.9379
1,2,4.380104,661.409
1,2,4.37818241,661.91925
1,2,4.37818241,662.9006
1,2,4.37818241,663.76416
1,2,4.37818241,664.1959
1,2,4.37818241,665.295
1,2,4.37818241,666.0801
1,2,4.38106537,666.8651
1,2,4.38106537,667.1399
1,2,4.38106537,667.9249
1,2,4.38106537,669.063232
1,2,4.38106537,670.162354
1,2,4.38106537,671.3399
1,2,4.38106537,672.596
1,2,4.38106537,673.22406
1,2,4.38138533,674.5194
1,2,4.38490868,675.3437
1,2,4.3858695,676.050232
1,2,4.38618946,677.110046
1,2,4.38618946,677.9344
1,2,4.384268,679.033447
1,2,4.384268,679.425964
1,2,4.384268,680.368042
1,2,4.384268,680.9961
1,2,4.391314,681.9382
1,2,4.391314,682.212952
1,2,4.38747072,682.4092
1,2,4.38747072,682.9195
1,2,4.38747072,683.312
1,2,4.38747072,683.940063
1,2,4.37946367,684.6466
1,2,4.378503,685.7064
1,2,4.378503,686.491455
1,2,4.378503,687.5906
1,2,4.378503,687.9046
1,2,4.37722158,689.3962
1,2,4.37498,690.141968
1,2,4.37498,690.809265
1,2,4.383307,691.751343
1,2,4.383307,693.085938
1,2,4.379784,694.5383
1,2,4.37690163,695.676636
1,2,4.3804245,696.6187
1,2,4.38683033,697.6393
1,2,4.3858695,699.052368
1,2,4.37722158,700.1907
1,2,4.37722158,701.015
1,2,4.38170576,701.5645
1,2,4.38458824,702.388855
1,2,4.38458824,703.2917
1,2,4.38458824,704.1552
1,2,4.38458824,704.5085
1,2,4.38458824,704.979553
1,2,4.38458824,705.8431
1,2,4.38458824,706.1571
1,2,4.38458824,706.6674
1,2,4.38458824,707.256165
1,2,4.390033,707.845
1,2,4.390033,708.6693
1,2,4.390033,709.258057
1,2,4.38939238,709.4151
1,2,4.38939238,709.8861
1,2,4.38939238,710.435669
1,2,4.38939238,710.9459
1,2,4.38939238,711.6132
1,2,4.38939238,711.770264
1,2,4.38490868,712.908569
1,2,4.38490868,713.4974
1,2,4.382026,715.3423
1,2,4.37882328,716.1273
1,2,4.37882328,716.8731
1,2,4.376581,717.030151
1,2,4.376581,717.3049
1,2,4.376581,719.699341
1,2,4.376581,720.9946
1,2,4.376581,723.0358
1,2,4.376581,724.2134
1,2,4.376581,725.7835
1,2,4.3804245,726.8433
1,2,4.382026,727.5106
1,2,4.37305832,728.5312
1,2,4.371777,729.434
1,2,4.376581,731.161133
1,2,4.380104,732.2602
1,2,4.383307,733.359253
1,2,4.383307,734.4191
1,2,4.3858695,735.3219
1,2,4.39163446,735.87146
1,2,4.39163446,736.3032
1,2,4.39163446,737.3238
1,2,4.38490868,738.3051
1,2,4.38490868,739.522
1,2,4.38490868,740.3855
1,2,4.38490868,741.5631
1,2,4.38490868,742.191162
1,2,4.38490868,743.211731
1,2,4.38490868,744.114563
1,2,4.38651,744.78186
1,2,4.389713,745.0566
1,2,4.389713,745.8809
1,2,4.389713,746.6267
1,2,4.389713,747.411743
1,2,4.389713,747.8043
1,2,4.389713,748.6286
1,2,4.389713,748.7856
1,2,4.389713,749.845459
1,2,4.389713,750.394958
1,2,4.38618946,750.9445
1,2,4.38170576,751.6118
1,2,4.38170576,752.0436
1,2,4.38170576,752.59314
1,2,4.38170576,753.142639
1,2,4.38170576,754.0062
1,2,4.38170576,754.752
1,2,4.383307,754.987549
1,2,4.38747072,755.8904
1,2,4.389713,756.4399
1,2,4.389713,757.067932
1,2,4.39067364,757.656738
1,2,4.39163446,758.2063
1,2,4.39163446,759.305359
1,2,4.39163446,759.894165
1,2,4.39163446,761.1502
1,2,4.397079,762.0138
1,2,4.397079,763.5054
1,2,4.388111,764.683
1,2,4.388111,765.5466
1,2,4.388111,766.8811
1,2,4.389072,767.705444
1,2,4.39739943,768.451233
1,2,4.39739943,769.5896
1,2,4.39291525,770.296143
1,2,4.39291525,771.5522
1,2,4.39291525,772.3765
1,2,4.394837,773.7896
1,2,4.395478,774.8102
1,2,4.395478,775.4775
1,2,4.395478,776.7728
1,2,4.395478,777.243835
1,2,4.395478,778.8532
1,2,4.395478,779.442
1,2,4.395478,780.3841
1,2,4.395478,781.2084
1,2,4.395478,781.993469
1,2,4.390033,782.542969
1,2,4.390033,783.2495
1,2,4.390033,784.0346
1,2,4.390033,784.898132
1,2,4.390033,785.6047
1,2,4.38490868,786.546753
1,2,4.38266659,787.057068
1,2,4.38266659,787.881348
1,2,4.38651,787.9206
1,2,4.38651,788.627136
1,2,4.38651,789.0982
1,2,4.38651,789.6477
1,2,4.379784,790.5898
1,2,4.379784,791.2571
1,2,4.379784,792.8272
1,2,4.379784,793.612244
1,2,4.38266659,794.946838
1,2,4.38266659,795.8104
1,2,4.382026,796.988
1,2,4.37722158,797.9693
1,2,4.37722158,798.3618
1,2,4.37722158,798.9506
1,2,4.383307,799.6179
1,2,4.383307,800.6385
1,0,4.383307,801.4628
1,0,4.38170576,802.247864
1,0,4.38170576,803.3469
1,0,4.38362741,804.4068
1,0,4.38490868,805.859131
1,0,4.37946367,806.5657
1,0,4.346155,807.1545
1,0,4.3058,808.057251
1,0,4.217724,808.842346
1,1,4.04221249,810.255432
1,1,3.72193575,811.040466
1,1,3.26586151,811.9433
1,1,2.67238879,812.8069
1,1,2.04977083,813.5134
1,1,1.7041924,813.984436
1,1,0.931364655,814.7695
1,1,0.7097332,814.8088
1,1,0.422765255,815.8686
1,1,0.232841164,816.2611
1,1,0.122665979,816.9284
1,1,0.05668898,817.949
1,1,0.007366364,818.6163
1,1,0,819.1265
1,1,0,820.1864
1,1,0,820.5004
1,1,0,820.6574
1,1,0,821.0107
1,1,0,821.2462
1,1,0,821.442444
1,1,0,821.874268
1,1,0,821.7565
1,1,0,822.149
1,1,0,822.7378
1,1,0,823.2481
1,1,0,823.4051
1,1,0,823.8369
1,1,0,824.229431
1,1,0,824.033142
1,1,0,824.3864
1,1,0,824.229431
1,1,0,824.111633
1,1,0,824.3079
1,1,0,824.700439
1,1,0,824.7397
1,1,0,824.700439
1,1,0,824.8182
1,1,0,824.8182
1,1,0,824.7397
1,1,0,824.5827
1,1,0,824.621948
1,1,0,824.7397
1,1,0,824.700439
1,1,0,825.092957
1,1,0,824.7397
1,1,0,824.8182
1,1,0,824.778931
1,1,0,824.700439
1,1,0,824.7397
1,1,0,824.778931
1,1,0,824.700439
1,1,0,824.8967
1,1,0,824.778931
1,1,0,824.3864
1,1,0,824.347168
1,1,0,824.3079
1,1,0,824.425659
1,1,0,824.425659
1,1,0,824.1509
1,1,0,824.111633
1,1,0,824.111633
1,1,0,823.7976
1,1,0,823.758362
1,1,0,823.8369
1,1,0,823.9939
1,1,0,824.1509
1,1,0,823.8369
1,1,0,823.8369
1,1,0,823.8369
1,1,0,823.8369
1,1,0,823.562134
1,1,0,823.3266
1,1,0,823.365845
1,1,0,823.2481
1,1,0,823.562134
1,1,0,823.758362
1,1,0,823.5229
1,1,0,823.7976
1,1,0,823.562134
1,1,0,823.5229
1,1,0,823.7191
1,1,0,823.6406
1,1,0,823.6014
1,1,0,823.758362
1,1,0,823.6406
1,1,0,823.9939
1,1,0,823.7976
1,1,0,823.444336
1,1,0,823.5229
1,1,0,823.562134
1,1,0,823.8369
1,1,0,823.758362
1,1,0,823.7976
1,1,0,823.6406
1,1,0,823.6406
1,1,0,823.758362
1,1,0,823.5229
1,1,0,823.562134
1,1,0,823.5229
1,1,0,823.208862
1,1,0,823.5229
1,1,0,823.1303
1,1,0,823.3266
1,1,0,823.1696
1,1,0,822.8556
1,1,0,822.620056
1,1,0,822.2668
1,1,0,822.2668
1,1,0,822.149
1,1,0,822.3453
1,1,0,822.03125
1,1,0,822.0705
1,1,0,822.3453
1,1,0,822.1883
1,1,0,822.227539
1,1,0,822.227539
1,1,0,822.3845
1,1,0,822.3845
1,1,0,822.463
1,1,0,822.3845
1,1,0,822.541565
1,1,0,823.1696
1,1,0,823.4051
1,1,0,823.6406
1,1,0,823.7191
1,1,0,823.6406
1,1,0,823.6014
1,1,0,823.7191
1,1,0,823.7976
1,1,0,823.7191
1,1,0,823.444336
1,1,0,823.5229
1,1,0,823.8369
1,1,0,823.8369
1,1,0,823.5229
1,1,0,823.562134
1,1,0,823.7191
1,1,0,823.7191
1,1,0,823.6014
1,1,0,823.208862
1,1,0,823.0518
1,1,0,823.0518
1,1,0,823.208862
1,1,0,823.1303
1,1,0,823.0126
1,1,0,823.0518
1,1,0,822.9733
1,1,0,822.9341
1,1,0,823.0518
1,1,0,823.1696
1,1,0,822.9341
1,1,0,822.8556
1,1,0,822.9341
1,1,0,822.541565
1,1,0,822.5808
1,1,0,822.423767
1,1,0,822.6593
1,1,0,822.541565
1,1,0,822.9341
1,1,0,823.0518
1,1,0,823.0518
1,1,0,823.1696
1,1,0,823.0126
1,1,0,823.1303
1,1,0,822.8556
1,1,0,823.1303
1,1,0,823.0518
1,1,0,823.365845
1,1,0,823.1696
1,1,0,823.5229
1,1,0,823.758362
1,1,0,823.6406
1,1,0,823.7976
1,1,0,823.758362
1,1,0,823.7976
1,1,0,823.562134
1,1,0,823.5229
1,1,0,823.444336
1,1,0,823.8369
1,1,0,823.9939
1,1,0,824.033142
1,1,0,823.9154
1,1,0,823.7191
1,1,0,823.6406
1,1,0,823.3266
1,1,0,823.1696
1,1,0,823.0126
1,1,0,823.0518
1,1,0,822.9733
1,1,0,823.0518
1,1,0,822.9733
1,1,0,822.8556
1,1,0,822.423767
1,1,0,822.3453
1,1,0,822.541565
1,1,0,822.541565
1,1,0,822.423767
